Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,5-6h,1-2km;0.018993188;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,6-7h,1-2km;0.018775649;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,7-8h,1-2km;0.01855756;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,8-9h,1-2km;0.018338943;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,9-10h,1-2km;0.018119762;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,10-11h,1-2km;0.017900014;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,11-12h,1-2km;0.017679669;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;NO2;Urban;TØ,>12h,1-2km;0.017569279;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,0-1h,0-1km;0.000590066;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,1-2h,0-1km;0.001017269;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,2-3h,0-1km;0.001123909;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,3-4h,0-1km;0.00126467;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,4-5h,0-1km;0.001381637;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,5-6h,0-1km;0.001480618;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,6-7h,0-1km;0.00158373;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,7-8h,0-1km;0.001691235;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,8-9h,0-1km;0.001803415;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,9-10h,0-1km;0.001920577;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,10-11h,0-1km;0.002043054;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,11-12h,0-1km;0.002171212;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,>12h,0-1km;0.002237347;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,0-1h,1-2km;0.001153914;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,1-2h,1-2km;0.002360891;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,2-3h,1-2km;0.002732825;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,3-4h,1-2km;0.003088981;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,4-5h,1-2km;0.003372615;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,5-6h,1-2km;0.00359367;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,6-7h,1-2km;0.003820826;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,7-8h,1-2km;0.004054214;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,8-9h,1-2km;0.004293947;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,9-10h,1-2km;0.004540117;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,10-11h,1-2km;0.004792784;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,11-12h,1-2km;0.005051963;;;;;
2020ColdAverage[4.1];pass. car;2020;REF D HB41;PM2.5;Urban;TØ,>12h,1-2km;0.005183788;;;;;
